%time vcc icc nReset externalCircuitry.v_cap externalCircuitry.keepAlive externalCircuitry.i_supply
0.00698 3.91168754214 8.11299920456e-05 1 3.91168754214 0 0
0.00699 3.9114632086 8.11346450815e-05 1 3.9114632086 0 0
0.007 3.91123740011 5.81273486537e-05 1 3.91123740011 0 0
0.00701 3.91101158171 9.16171932252e-05 1 3.91101158171 0 0
0.00702 3.91083471501 7.03295237352e-05 1 3.91083471501 0 0
0.00703 3.91058659332 7.47110973745e-05 1 3.91058659332 0 0
0.00704 3.91038376455 8.04679476011e-05 1 3.91038376455 0 0
0.00705 3.91017161328 8.11614452167e-05 1 3.91017161328 0 0
0.00706 3.90994721339 7.03454875227e-05 1 3.90994721339 0 0
0.00707 3.90972133798 7.43830260444e-05 1 3.90972133798 0 0
0.00708 3.90951847524 7.5418203436e-05 1 3.90951847524 0 0
0.00709 3.90930702199 7.03570073588e-05 1 3.90930702199 0 0
0.0071 3.90909336624 8.62519371512e-05 1 3.90909336624 0 0
0.00711 3.90889047899 6.93304684287e-05 1 3.90889047899 0 0
0.00712 3.90865377274 8.08482628281e-05 1 3.90865377274 0 0
0.00713 3.90845306961 7.03723795617e-05 1 3.90845306961 0 0
0.00714 3.90822786054 7.51009249959e-05 1 3.90822786054 0 0
0.00715 3.90802494059 6.93458235464e-05 1 3.90802494059 0 0
0.00716 3.9078119599 9.20369810869e-05 1 3.9078119599 0 0
0.00717 3.9076112241 7.03875404026e-05 1 3.9076112241 0 0
0.00718 3.90736220925 6.36001615759e-05 1 3.90736220925 0 0
0.00719 3.90715925703 7.54637424035e-05 1 3.90715925703 0 0
0.0072 3.90697074605 7.54699377711e-05 1 3.90697074605 0 0
0.00721 3.90675699341 6.97131969203e-05 1 3.90675699341 0 0
0.00722 3.90654322758 6.97170116225e-05 1 3.90654322758 0 0
0.00723 3.90634171014 7.00655118181e-05 1 3.90634171014 0 0
0.00724 3.90614018459 7.54859849223e-05 1 3.90614018459 0 0
0.00725 3.90593791754 8.12494171384e-05 1 3.90593791754 0 0
0.00726 3.90572411757 5.8209400659e-05 1 3.90572411757 0 0
0.00727 3.90549805498 8.09135897839e-05 1 3.90549805498 0 0
0.00728 3.9053210137 7.5156824853e-05 1 3.9053210137 0 0
0.00729 3.90509566564 5.89087958485e-05 1 3.90509566564 0 0
0.0073 3.90488256601 8.09263434125e-05 1 3.90488256601 0 0
0.00731 3.90470403666 8.63488940973e-05 1 3.90470403666 0 0
0.00732 3.90447866146 7.04440123156e-05 1 3.90447866146 0 0
0.00733 3.90424174892 7.44874223501e-05 1 3.90424174892 0 0
0.00734 3.90403867656 7.55240621648e-05 1 3.90403867656 0 0
0.00735 3.90382700119 8.12933511353e-05 1 3.90382700119 0 0
0.00736 3.90361312021 7.51897071721e-05 1 3.90361312021 0 0
0.00737 3.90338696414 6.94282197575e-05 1 3.90338696414 0 0
0.00738 3.90317379455 9.21463491957e-05 1 3.90317379455 0 0
0.00739 3.90297288344 7.04711898155e-05 1 3.90297288344 0 0
0.0074 3.90272363589 7.45163970706e-05 1 3.90272363589 0 0
0.00741 3.9025205057 6.47122348411e-05 1 3.9025205057 0 0
0.00742 3.90230876869 7.52148394245e-05 1 3.90230876869 0 0
0.00743 3.90211789159 7.01413537114e-05 1 3.90211789159 0 0
0.00744 3.90190466853 8.0642809755e-05 1 3.90190466853 0 0
0.00745 3.90170224012 7.55718455515e-05 1 3.90170224012 0 0
0.00746 3.90147746818 8.13423073098e-05 1 3.90147746818 0 0
0.00747 3.90126348553 7.454428679e-05 1 3.90126348553 0 0
0.00748 3.9010372253 6.47368401919e-05 1 3.9010372253 0 0
0.00749 3.90082542895 7.55888322738e-05 1 3.90082542895 0 0
0.0075 3.9006344995 6.98226197907e-05 1 3.9006344995 0 0
0.00751 3.90042048071 8.06734959532e-05 1 3.90042048071 0 0
0.00752 3.90021873045 7.5600590494e-05 1 3.90021873045 0 0
0.00753 3.89999389323 8.13732502838e-05 1 3.89999389323 0 0
0.00754 3.89977984942 6.37238196615e-05 1 3.89977984942 0 0
0.00755 3.89955352335 7.56109277476e-05 1 3.89955352335 0 0
0.00756 3.89936474927 8.13863794708e-05 1 3.89936474927 0 0
0.00757 3.89915068346 8.6817416017e-05 1 3.89915068346 0 0
0.00758 3.89892432947 5.83109188104e-05 1 3.89892432947 0 0
0.00759 3.89868642007 9.19068283981e-05 1 3.89868642007 0 0
0.0076 3.8985091628 7.05518780201e-05 1 3.8985091628 0 0
0.00761 3.89826042486 7.49473313537e-05 1 3.89826042486 0 0
0.00762 3.898057123 8.07224075835e-05 1 3.898057123 0 0
0.00763 3.8978444691 7.02182535572e-05 1 3.8978444691 0 0
0.00764 3.89761952781 7.53053306839e-05 1 3.89761952781 0 0
0.00765 3.89741693578 6.47969738928e-05 1 3.89741693578 0 0
0.00766 3.89720352018 7.53133691637e-05 1 3.89720352018 0 0
0.00767 3.89701246279 8.14355053286e-05 1 3.89701246279 0 0
0.00768 3.89679903009 7.53211867369e-05 1 3.89679903009 0 0
0.00769 3.89657257157 6.95496370124e-05 1 3.89657257157 0 0
0.0077 3.89635912223 7.02450217424e-05 1 3.89635912223 0 0
0.00771 3.89615795279 7.5333580152e-05 1 3.89615795279 0 0
0.00772 3.89595530381 7.56807603552e-05 1 3.89595530381 0 0
0.00773 3.89574182811 7.53416269281e-05 1 3.89574182811 0 0
0.00774 3.89552761372 8.14665459079e-05 1 3.89552761372 0 0
0.00775 3.8953141209 7.5349899472e-05 1 3.8953141209 0 0
0.00776 3.89508759633 6.95761523309e-05 1 3.89508759633 0 0
0.00777 3.89487408591 8.14802153238e-05 1 3.89487408591 0 0
0.00778 3.89467286005 8.14844251577e-05 1 3.89467286005 0 0
0.00779 3.8944463064 7.46747756236e-05 1 3.8944463064 0 0
0.0078 3.8942197438 7.57144894485e-05 1 3.8942197438 0 0
0.00781 3.89400766981 8.1498344659e-05 1 3.89400766981 0 0
0.00782 3.89379338366 7.53793276894e-05 1 3.89379338366 0 0
0.00783 3.89356679144 6.96033283777e-05 1 3.89356679144 0 0
0.00784 3.8933532184 7.06453094505e-05 1 3.8933532184 0 0
0.00785 3.89315193472 7.53917474435e-05 1 3.89315193472 0 0
